"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","TIPI_Extra_PCG_W2","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Open_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
378000,9,50,65,99,5.5,7,5,7,6,4,6,5,0,0,0,1,20,19,4,8,7,7,7,7,6.5,4,6,5,0,0,0,1,-0.72045885265303,-1.31026469536334
392000,11,80,75,140,1.5,3,4,3.5,3,6,6,5,0,1,0,1,110,28,3,12,4,4.5,7,4.5,2,6,6,5,0,1,0,1,0.616475100723727,1.25198605093767
397000,11,80,65,129,2.5,5,1.5,4,5,4,4,5,0,0,0,1,71,22,3,8,7,6,3.5,5.5,5,4,4,5,0,0,0,1,0.616475100723727,0.141677394207232
418000,12,95,70,114,2.5,2,3.5,6,5.5,4,4,3,0,0,1,1,110,26,4,14,4.5,7,7,7,5.5,4,3,4,0,0,1,1,1.28494207741211,1.25198605093767
425000,12,80,85,154,2.5,6,6,3,4,4,6,4,0,0,0,1,125,26,3,15,1.5,6.5,6,6.5,4,4,6,5,0,0,0,1,1.28494207741211,1.67902784198784
437000,12,60,65,117,4.5,7,5,7,4.5,3,4,5,0,0,1,1,113,34,4,3,5,5,4,5.5,4.5,3,4,5,0,0,1,1,1.28494207741211,1.3373944091477
440000,9,30,25,114,3.5,7,7,7,7,3,2,4,0,0,0,1,45,18,2,9,6.5,7,6.5,7,7,3,2,4,1,0,0,1,-0.72045885265303,-0.598528376946393
442000,8,100,95,117,3.5,3,5,3.5,7,3,3,4,0,0,0,1,37,28,4,13,7,5.5,2,6.5,6,3,3,4,0,0,1,1,-1.38892582934141,-0.826283998839816
447000,10,75,75,110,5.5,5,3.5,1.5,7,2,2,4,0,0,1,1,46,22,4,13,5.5,5.5,2.5,5,2.5,2,2,4,0,0,1,1,-0.0519918759646515,-0.570058924209715
476000,7,55,35,117,3.5,7,4,4,4,5,6,4,0,0,0,1,15,26,0,4,3.5,6,3.5,5.5,4,5,4,2,0,0,0,1,-2.05739280602979,-1.45261195904673
485000,12,65,90,140,5.5,7,5,7,6,4,4,4,0,0,1,1,113,16,4,16,7,5,5,6.5,6,4,5,3,0,0,1,1,1.28494207741211,1.3373944091477
489000,9,70,55,121,4,5.5,1.5,3.5,2,5,3,4,0,0,0,1,46,22,3,10,3,4.5,4.5,6.5,3.5,3,3,5,0,0,0,1,-0.72045885265303,-0.570058924209715
491000,8,40,70,131,3,4,5.5,3.5,3.5,3,3,1,0,0,1,1,25,25,4,8,2,3.5,4.5,4,5.5,5,3,2,0,0,1,1,-1.38892582934141,-1.16791743167995
494000,6,40,45,99,4,2.5,5,4,5,1,2,2,0,0,1,1,0,21,1,4,5,5,6,4,5,1,2,1,0,0,1,1,-2.72585978271817,-1.8796537500969
495000,9,75,60,114,7,7,3,3.5,7,5,2,4,0,0,1,1,85,28,4,8,6.5,5,5,6.5,7,5,2,5,0,0,1,1,-0.72045885265303,0.540249732520723
496000,11,75,95,129,4,1.5,1,5.5,3,6,3,4,0,0,1,1,125,29,4,8,3.5,4.5,4.5,5.5,7,5,3,3,0,0,1,1,0.616475100723727,1.67902784198784
497000,11,95,65,135,3.5,1.5,4,5.5,2.5,4,6,4,0,0,0,1,95,24,3,12,2.5,5,4,5.5,4.5,3,6,2,0,0,0,1,0.616475100723727,0.824944259887501
5e+05,11,75,90,117,4,7,3.5,1.5,7,4,5,1,0,0,1,1,50,20,3,11,4.5,6.5,6.5,6,6,3,5,4,0,0,1,1,0.616475100723727,-0.456181113263003
504000,11,85,85,124,5,1.5,5,5,5,4,6,4,0,0,1,1,110,20,4,10,4,4,7,7,4,3,6,4,0,0,1,1,0.616475100723727,1.25198605093767
505000,11,95,75,124,1.5,2.5,1,1.5,2.5,4,4,5,0,0,1,1,46,22,2,12,4,5.5,4,5.5,5,4,4,5,0,0,0,1,0.616475100723727,-0.570058924209715
517000,7,75,10,99,4,3,3,1.5,5,6,2,2,0,0,1,1,25,30,2,12,1,7,5,4.5,5,6,2,3,0,0,0,1,-2.05739280602979,-1.16791743167995
522000,11,60,65,110,4.5,3.5,3,7,3.5,3,3,2,0,0,1,1,91,29,4,6,4,6.5,3.5,6.5,5.5,3,3,2,0,0,1,1,0.616475100723727,0.71106644894079
528000,12,95,80,129,7,2,7,6,4,6,6,5,0,1,0,1,105,23,3,12,7,7,5.5,6.5,4,6,5,5,0,1,0,1,1.28494207741211,1.10963878725428
533000,11,80,60,95,5,7,7,5,7,6,4,5,0,0,0,1,85,26,2,8,4,7,5.5,4.5,7,6,4,5,0,0,0,1,0.616475100723727,0.540249732520723
534000,12,100,95,145,1,7,4.5,0.5,3.5,3,6,5,0,1,0,1,125,23,3,15,4,4.5,3.5,3.5,4,3,6,5,0,1,0,1,1.28494207741211,1.67902784198784
535000,11,55,85,110,3.5,7,1.5,3.5,7,4,2,2,0,0,0,1,45,14,4,9,6,6.5,4,6,5,4,2,4,0,0,0,1,0.616475100723727,-0.598528376946393
536000,10,85,65,129,2,5,2,1.5,4,3,6,4,0,0,0,1,25,32,4,12,2,6,3.5,6,3.5,3,6,4,0,0,0,1,-0.0519918759646515,-1.16791743167995
537000,11,85,85,135,1,7,7,7,2,3,5,5,0,0,0,1,113,17,4,14,3,7,7,7,5,3,5,5,0,0,0,1,0.616475100723727,1.3373944091477
538000,11,95,75,129,4.5,7,2.5,3.5,6,6,6,5,0,0,0,1,105,23,4,16,3.5,6,4.5,6.5,6,6,5,5,0,0,0,1,0.616475100723727,1.10963878725428
539000,10,75,70,135,3,7,1.5,3.5,3,3,2,3,0,0,0,1,102,12,3,7,6.5,7,7,7,6.5,3,2,3,0,0,0,1,-0.0519918759646515,1.02423042904425
540000,9,65,55,121,4,3.5,5.5,4,4,3,3,4,0,0,0,1,20,30,1,10,3.5,4.5,4,4,4.5,3,3,4,0,0,0,1,-0.72045885265303,-1.31026469536334
544000,9,65,55,114,4.5,7,4,3.5,3.5,3,3,4,0,0,1,1,45,20,2,8,3.5,7,5,6.5,4,3,3,5,0,0,1,1,-0.72045885265303,-0.598528376946393
546000,9,65,15,95,1.5,4.5,1.5,1.5,3,1,3,2,1,0,1,1,0,26,2,9,4.5,6.5,6,4.5,5,1,3,2,1,0,1,1,-0.72045885265303,-1.8796537500969
547000,9,80,25,140,1.5,1,4,3,4.5,4,4,4,0,0,0,1,37,31,2,11,3.5,7,6.5,6,6,5,4,4,0,0,0,1,-0.72045885265303,-0.826283998839816
556000,12,80,65,121,3.5,3.5,6.5,6.5,7,5,5,5,0,1,0,1,125,21,3,8,4.5,6.5,7,6.5,7,5,6,4,0,1,0,1,1.28494207741211,1.67902784198784
559000,10,85,70,131,1.5,2.5,5,1.5,3.5,4,6,4,0,0,0,1,50,27,4,9,5,3.5,5.5,4,4,4,5,2,0,0,0,1,-0.0519918759646515,-0.456181113263003
560000,11,55,25,99,6.5,7,6.5,3.5,7,3,4,4,0,0,1,1,71,25,3,11,7,7,7,6.5,6.5,3,3,5,0,0,1,1,0.616475100723727,0.141677394207232
565000,12,90,90,114,2,3.5,5,3.5,4,3,4,3,0,0,1,1,100,19,4,7,4,6.5,4.5,7,4,3,4,5,0,0,1,1,1.28494207741211,0.967291523570891
575000,10,75,25,110,3,5,4.5,3.5,4,5,4,4,0,0,0,1,0,24,2,12,4,4,4.5,6,5.5,5,4,2,0,0,0,1,-0.0519918759646515,-1.8796537500969
577000,9,60,70,129,7,7,1,7,5,3,3,5,0,0,0,1,15,11,1,9,6,6,3,6,6.5,3,3,5,0,0,0,1,-0.72045885265303,-1.45261195904673
578000,6,45,45,99,1.5,1.5,4,3.5,2.5,3,3,2,1,0,1,1,37,23,1,8,2.5,6,7,3,3,3,3,2,1,0,0,1,-2.72585978271817,-0.826283998839816
586000,9,50,25,97,1.5,6.5,0.5,3.5,6.5,4,5,5,0,1,1,1,37,24,3,6,6.5,7,4.5,7,6,3,4,5,0,1,1,1,-0.72045885265303,-0.826283998839816
592000,11,100,95,145,1,7,5.5,0.5,7,2,3,3,0,0,1,1,105,39,4,14,6.5,7,5,5,7,2,4,2,0,0,1,1,0.616475100723727,1.10963878725428
593000,12,95,80,140,2,6.5,1.5,3.5,2,6,5,5,0,0,1,1,105,20,2,13,5.5,6,6.5,6.5,6.5,5,5,5,0,0,1,1,1.28494207741211,1.10963878725428
603000,11,75,55,110,3.5,7,3,7,1,5,5,5,0,0,1,1,95,26,4,9,4.5,6.5,7,5.5,4,4,4,5,0,0,1,1,0.616475100723727,0.824944259887501
610000,11,90,90,117,6.5,1.5,1.5,5,4,5,3,4,0,1,1,1,102,24,4,12,6.5,6.5,6,6,4.5,5,3,3,0,1,1,1,0.616475100723727,1.02423042904425
611000,11,70,80,117,7,7,4.5,7,5,5,4,3,0,1,1,1,91,23,3,15,7,6.5,5.5,7,5.5,4,4,5,0,1,1,1,0.616475100723727,0.71106644894079
614000,10,90,45,161,5.5,7,5.5,6.5,7,3,2,3,1,0,1,1,100,23,4,15,5.5,6.5,5,4.5,7,3,3,2,1,0,1,1,-0.0519918759646515,0.967291523570891
620000,9,75,60,121,7,5,1,3.5,6.5,6,4,5,0,0,0,1,45,30,4,15,7,5,4.5,7,6.5,6,6,5,0,0,0,1,-0.72045885265303,-0.598528376946393
622000,12,90,75,114,3.5,3,1.5,6.5,7,6,4,1,0,0,1,1,91,23,4,12,6.5,6.5,4.5,6,5.5,6,4,4,0,0,1,1,1.28494207741211,0.71106644894079
623000,11,50,40,99,1.5,1.5,7,6,4,5,5,4,0,0,1,1,102,24,3,7,4,6,7,6,4,4,4,3,0,0,1,1,0.616475100723727,1.02423042904425
625000,8,45,45,103,0.5,6.5,6.5,5,4.5,4,3,4,0,1,1,1,37,34,2,7,1,6.5,7,5.5,4,4,3,3,0,1,1,1,-1.38892582934141,-0.826283998839816
639000,11,80,35,129,5,1.5,4,6.5,7,4,6,4,0,0,0,1,102,26,2,10,7,5,5.5,6.5,5.5,3,6,4,0,0,0,1,0.616475100723727,1.02423042904425
652000,8,55,40,99,4,4.5,3.5,6,7,6,6,1,0,0,1,1,30,22,2,10,3.5,7,4,5,3.5,4,6,2,0,0,1,1,-1.38892582934141,-1.02557016799656
670000,9,65,80,114,3.5,1.5,1,6,2.5,4,4,3,0,0,1,1,40,17,3,7,7,4.5,5,6.5,7,3,4,4,0,0,1,1,-0.72045885265303,-0.740875640629782
675000,11,60,60,124,3,3,5.5,3.5,2.5,4,2,2,0,0,1,1,60,24,3,10,6.5,5,4.5,5,4.5,4,2,2,0,0,1,1,0.616475100723727,-0.171486585896225
683000,9,70,65,110,4,6.5,4,3,2,5,3,5,0,0,0,1,28,18,2,8,5,5,2.5,5,4.5,5,3,5,0,0,0,1,-0.72045885265303,-1.08250907346992
685000,11,90,75,124,5,4,0.5,1.5,5.5,5,5,1,0,0,0,1,0,20,4,7,5,7,7,5.5,7,5,5,1,0,0,0,1,0.616475100723727,-1.8796537500969
686000,10,90,95,129,4,3,4,2.5,1,6,4,5,0,0,0,1,45,15,4,14,3,3,5.5,3,2.5,6,4,5,0,0,0,1,-0.0519918759646515,-0.598528376946393
688000,11,95,85,124,2,7,1.5,6.5,3.5,5,3,2,0,0,1,1,110,26,3,14,3.5,7,5.5,6.5,5,4,3,2,0,0,1,1,0.616475100723727,1.25198605093767
691000,9,90,90,124,7,7,4.5,4.5,7,3,1,4,0,0,1,1,20,20,3,14,3.5,6,6,2,2.5,3,1,2,0,0,1,1,-0.72045885265303,-1.31026469536334
693000,10,40,40,121,3.5,5,3,1.5,5,5,5,4,0,1,0,1,40,24,2,4,2,5.5,6,6,4,4,5,5,0,1,0,1,-0.0519918759646515,-0.740875640629782
696000,10,40,25,114,1.5,3,1,6.5,4.5,3,4,2,0,0,0,1,0,17,4,7,4,5,4,5.5,5,3,4,2,0,0,0,1,-0.0519918759646515,-1.8796537500969
697000,11,85,50,117,7,7,5,4.5,1.5,6,2,5,0,0,0,1,95,16,2,9,5,7,7,4.5,4,6,1,4,0,0,0,1,0.616475100723727,0.824944259887501
702000,10,55,75,154,3.5,7,4.5,3.5,4,3,4,5,0,0,0,1,91,27,4,9,5,7,5,7,4.5,3,3,5,0,0,0,1,-0.0519918759646515,0.71106644894079
703000,12,80,85,135,3.5,6.5,7,5,5.5,6,5,5,0,0,0,1,113,37,3,13,4,7,7,7,4.5,6,5,5,0,1,0,1,1.28494207741211,1.3373944091477
704000,9,55,85,154,7,7,7,7,7,4,4,4,0,0,0,1,46,21,2,7,6.5,6,5,6,5,4,4,5,0,0,0,1,-0.72045885265303,-0.570058924209715
709000,12,60,50,140,7,6.5,3,7,2,5,6,5,0,1,1,1,125,28,4,7,7,5.5,5.5,6.5,5.5,5,6,5,0,1,1,1,1.28494207741211,1.67902784198784
711000,10,90,0,124,6.5,5,6,1.5,7,4,2,1,0,0,1,1,46,26,4,7,7,2.5,7,7,7,4,2,2,0,0,1,1,-0.0519918759646515,-0.570058924209715
712000,11,85,90,140,1,2.5,1.5,3,2.5,3,2,4,0,0,1,1,80,19,4,6,1.5,6.5,6,6,5,3,2,4,0,0,1,1,0.616475100723727,0.397902468837333
715000,10,35,45,110,7,6,4,7,7,2,3,3,0,0,0,1,37,23,3,13,1,5.5,5,4,4,2,3,3,0,0,0,1,-0.0519918759646515,-0.826283998839816
724000,7,20,60,129,7,7,1.5,1.5,6,3,2,3,0,0,0,1,20,18,1,6,7,7,7,6.5,4.5,4,2,3,0,0,0,1,-2.05739280602979,-1.31026469536334
725000,10,80,75,103,1.5,4.5,1,4,6,4,4,5,0,0,1,1,95,20,4,8,3,6.5,3.5,2.5,6,3,4,4,0,0,1,1,-0.0519918759646515,0.824944259887501
731000,11,100,80,114,2.5,4.5,3.5,4.5,5.5,5,4,5,0,0,1,1,85,35,2,11,6.5,4,4.5,7,6.5,4,4,5,0,0,1,1,0.616475100723727,0.540249732520723
732000,11,95,75,124,3,3.5,3,2,3.5,4,5,5,0,0,0,1,85,20,3,12,1,4,4,1,6,4,5,3,0,1,0,1,0.616475100723727,0.540249732520723
736000,10,70,75,121,1,1.5,2.5,1.5,6,3,5,5,0,0,1,1,20,27,2,12,1.5,6.5,3,2,2.5,3,5,3,0,0,1,1,-0.0519918759646515,-1.31026469536334
737000,10,80,35,114,7,7,5,7,6.5,4,3,5,0,0,1,1,80,24,2,10,4,6.5,4.5,7,6.5,4,3,5,0,0,1,1,-0.0519918759646515,0.397902468837333
744000,12,75,75,129,5,6,3.5,4,6,3,4,3,0,0,1,1,80,12,2,8,6.5,7,7,6.5,7,4,3,4,0,0,1,1,1.28494207741211,0.397902468837333
745000,11,80,85,140,2.5,3.5,7,4.5,7,5,4,4,0,0,0,1,35,15,4,12,2.5,3.5,7,7,6,5,4,5,0,0,0,1,0.616475100723727,-0.883222904313172
756000,6,60,10,103,3.5,1.5,1.5,5,6,4,5,4,0,0,1,1,0,18,2,7,5,4,2,2,4,3,5,4,0,0,1,1,-2.72585978271817,-1.8796537500969
766000,10,65,60,121,5,7,5,1.5,7,2,1,4,1,0,1,1,95,14,1,14,6.5,7,5,7,6.5,2,1,4,1,0,0,1,-0.0519918759646515,0.824944259887501
774000,7,45,45,95,1.5,3,1.5,4,4.5,3,6,3,0,0,0,1,20,17,3,8,4,5.5,4,6,4.5,3,6,3,0,0,0,1,-2.05739280602979,-1.31026469536334
776000,10,45,65,114,3.5,6.5,1,5.5,3,4,2,4,0,0,0,1,85,17,4,8,6.5,4,6,7,7,3,2,4,0,0,0,1,-0.0519918759646515,0.540249732520723
778000,10,60,55,107,3.5,3,5.5,3.5,3,5,5,4,0,0,0,1,15,16,4,9,6,5,6.5,7,7,4,5,5,0,0,0,1,-0.0519918759646515,-1.45261195904673
782000,7,65,40,110,3.5,7,5,7,7,4,6,5,0,0,0,1,15,29,1,8,2.5,7,5.5,7,7,3,5,5,0,0,0,1,-2.05739280602979,-1.45261195904673
785000,10,100,95,129,3,7,5,7,1.5,6,6,4,0,0,1,1,91,26,4,16,5.5,6.5,4.5,6.5,6,6,6,5,0,0,1,1,-0.0519918759646515,0.71106644894079
787000,11,55,80,107,3.5,3,4.5,4.5,3,5,6,5,0,0,0,1,91,21,2,9,5.5,7,4,6.5,5,5,6,5,0,0,0,1,0.616475100723727,0.71106644894079
789000,6,40,10,95,2.5,3,3.5,7,6,3,2,3,0,0,0,1,37,26,1,7,6.5,6.5,4,6.5,4,3,2,5,0,0,0,1,-2.72585978271817,-0.826283998839816
8e+05,10,80,55,129,1.5,2,1.5,2.5,5,4,4,4,0,0,0,1,40,20,2,7,4,5.5,6,5.5,6,3,4,2,0,0,0,1,-0.0519918759646515,-0.740875640629782
801000,12,70,50,124,3,2.5,1.5,2.5,3,4,3,4,0,0,0,1,113,30,4,10,6,6,5,6,5,4,3,2,0,0,0,1,1.28494207741211,1.3373944091477
809000,11,65,70,114,7,5,5.5,3.5,3,6,6,5,0,0,0,1,95,21,3,7,7,7,5.5,5,5.5,6,6,5,0,0,0,1,0.616475100723727,0.824944259887501
816000,11,95,50,131,7,7,3.5,7,3.5,5,4,5,0,0,1,1,75,23,4,11,7,6.5,4.5,5,7,5,5,5,0,0,1,1,0.616475100723727,0.255555205153944
827000,10,60,45,114,7,5,1,2,1,4,5,4,0,0,1,1,0,28,1,7,6,5,3,6,4.5,3,5,4,0,0,1,1,-0.0519918759646515,-1.8796537500969
831000,9,60,55,124,2.5,7,5,7,3.5,3,3,4,0,0,1,1,70,16,3,10,3,7,3,5,5,3,2,5,0,0,1,1,-0.72045885265303,0.113207941470554
833000,11,60,45,110,3.5,5.5,2,3.5,4,5,5,5,0,0,1,1,102,21,3,9,3.5,5,5,4,5.5,5,5,5,0,0,1,1,0.616475100723727,1.02423042904425
835000,12,55,85,129,1.5,5.5,3,1.5,4.5,3,4,4,1,0,1,1,110,30,4,12,4.5,5.5,4.5,4.5,4.5,3,5,4,1,0,1,1,1.28494207741211,1.25198605093767
836000,9,70,40,114,7,5,3,6.5,6.5,6,6,5,0,0,1,1,28,20,3,8,5.5,7,4.5,6.5,6,6,6,5,0,0,1,1,-0.72045885265303,-1.08250907346992
837000,9,55,60,95,0.5,4,7,1,5,6,5,5,0,0,1,1,37,17,2,7,3,6,7,5.5,5,6,5,5,0,1,1,1,-0.72045885265303,-0.826283998839816
839000,10,65,65,121,5,6.5,1,6.5,2,4,5,5,0,0,1,1,80,22,2,11,6,4.5,4.5,6.5,5.5,4,5,5,0,0,1,1,-0.0519918759646515,0.397902468837333
840000,10,90,70,124,7,7,3.5,7,7,5,4,4,0,0,1,1,37,30,3,7,7,4.5,4.5,7,6,5,2,2,0,1,0,1,-0.0519918759646515,-0.826283998839816
841000,9,60,50,110,5,7,7,5,7,3,5,1,0,0,1,1,46,33,3,6,5,7,7,4,7,3,5,2,0,0,1,1,-0.72045885265303,-0.570058924209715
844000,10,70,80,124,5,7,7,6.5,5.5,5,4,5,0,0,1,1,45,18,3,5,5.5,7,7,7,5.5,5,4,5,0,0,1,1,-0.0519918759646515,-0.598528376946393
846000,11,85,55,135,5.5,3.5,3.5,7,2.5,5,4,4,0,0,1,1,110,30,4,10,7,7,7,7,6.5,5,3,3,0,0,1,1,0.616475100723727,1.25198605093767
865000,11,95,65,131,4,2,3.5,5.5,2.5,5,3,4,0,0,1,1,91,30,4,13,2.5,6.5,3,4,5.5,5,3,5,0,0,1,1,0.616475100723727,0.71106644894079
