"ID","JC_English_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","TIPI_Extra_PCG_W2","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Open_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_English_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_English_Standardized","LC_English_Standardized"
494000,8,40,45,99,4,2.5,5,4,5,1,2,2,0,0,1,1,0,21,1,4,5,5,6,4,5,1,2,1,0,0,1,1,-2.05468841978774,-1.86150754454275
495000,9,75,60,114,7,7,3,3.5,7,5,2,4,0,0,1,1,85,28,4,8,6.5,5,5,6.5,7,5,2,5,0,0,1,1,-1.17048929405166,1.15540466455747
497000,10,95,65,135,3.5,1.5,4,5.5,2.5,4,6,4,0,0,0,1,95,24,3,12,2.5,5,4,5.5,4.5,3,6,2,0,0,0,1,-0.286290168315587,1.51033551268691
5e+05,12,75,90,117,4,7,3.5,1.5,7,4,5,1,0,0,1,1,50,20,3,11,4.5,6.5,6.5,6,6,3,5,4,0,0,1,1,1.48210808315657,-0.0868533038955631
505000,11,95,75,124,1.5,2.5,1,1.5,2.5,4,4,5,0,0,1,1,46,22,2,12,4,5.5,4,5.5,5,4,4,5,0,0,0,1,0.59790895742049,-0.228825643147338
517000,10,75,10,99,4,3,3,1.5,5,6,2,2,0,0,1,1,25,30,2,12,1,7,5,4.5,5,6,2,3,0,0,0,1,-0.286290168315587,-0.974180424219159
522000,10,60,65,110,4.5,3.5,3,7,3.5,3,3,2,0,0,1,1,91,29,4,6,4,6.5,3.5,6.5,5.5,3,3,2,0,0,1,1,-0.286290168315587,1.36836317343513
533000,10,80,60,95,5,7,7,5,7,6,4,5,0,0,0,1,85,26,2,8,4,7,5.5,4.5,7,6,4,5,0,0,0,1,-0.286290168315587,1.15540466455747
535000,10,55,85,110,3.5,7,1.5,3.5,7,4,2,2,0,0,0,1,45,14,4,9,6,6.5,4,6,5,4,2,4,0,0,0,1,-0.286290168315587,-0.264318727960282
536000,10,85,65,129,2,5,2,1.5,4,3,6,4,0,0,0,1,25,32,4,12,2,6,3.5,6,3.5,3,6,4,0,0,0,1,-0.286290168315587,-0.974180424219159
540000,9,65,55,121,4,3.5,5.5,4,4,3,3,4,0,0,0,1,20,30,1,10,3.5,4.5,4,4,4.5,3,3,4,0,0,0,1,-1.17048929405166,-1.15164584828388
544000,10,65,55,114,4.5,7,4,3.5,3.5,3,3,4,0,0,1,1,45,20,2,8,3.5,7,5,6.5,4,3,3,5,0,0,1,1,-0.286290168315587,-0.264318727960282
546000,9,65,15,95,1.5,4.5,1.5,1.5,3,1,3,2,1,0,1,1,0,26,2,9,4.5,6.5,6,4.5,5,1,3,2,1,0,1,1,-1.17048929405166,-1.86150754454275
547000,9,80,25,140,1.5,1,4,3,4.5,4,4,4,0,0,0,1,37,31,2,11,3.5,7,6.5,6,6,5,4,4,0,0,0,1,-1.17048929405166,-0.548263406463833
559000,10,85,70,131,1.5,2.5,5,1.5,3.5,4,6,4,0,0,0,1,50,27,4,9,5,3.5,5.5,4,4,4,5,2,0,0,0,1,-0.286290168315587,-0.0868533038955631
560000,10,55,25,99,6.5,7,6.5,3.5,7,3,4,4,0,0,1,1,71,25,3,11,7,7,7,6.5,6.5,3,3,5,0,0,1,1,-0.286290168315587,0.658501477176257
575000,10,75,25,110,3,5,4.5,3.5,4,5,4,4,0,0,0,1,0,24,2,12,4,4,4.5,6,5.5,5,4,2,0,0,0,1,-0.286290168315587,-1.86150754454275
577000,11,60,70,129,7,7,1,7,5,3,3,5,0,0,0,1,15,11,1,9,6,6,3,6,6.5,3,3,5,0,0,0,1,0.59790895742049,-1.3291112723486
578000,8,45,45,99,1.5,1.5,4,3.5,2.5,3,3,2,1,0,1,1,37,23,1,8,2.5,6,7,3,3,3,3,2,1,0,0,1,-2.05468841978774,-0.548263406463833
586000,10,50,25,97,1.5,6.5,0.5,3.5,6.5,4,5,5,0,1,1,1,37,24,3,6,6.5,7,4.5,7,6,3,4,5,0,1,1,1,-0.286290168315587,-0.548263406463833
603000,11,75,55,110,3.5,7,3,7,1,5,5,5,0,0,1,1,95,26,4,9,4.5,6.5,7,5.5,4,4,4,5,0,0,1,1,0.59790895742049,1.51033551268691
611000,10,70,80,117,7,7,4.5,7,5,5,4,3,0,1,1,1,91,23,3,15,7,6.5,5.5,7,5.5,4,4,5,0,1,1,1,-0.286290168315587,1.36836317343513
614000,10,90,45,161,5.5,7,5.5,6.5,7,3,2,3,1,0,1,1,100,23,4,15,5.5,6.5,5,4.5,7,3,3,2,1,0,1,1,-0.286290168315587,1.68780093675163
620000,11,75,60,121,7,5,1,3.5,6.5,6,4,5,0,0,0,1,45,30,4,15,7,5,4.5,7,6.5,6,6,5,0,0,0,1,0.59790895742049,-0.264318727960282
622000,11,90,75,114,3.5,3,1.5,6.5,7,6,4,1,0,0,1,1,91,23,4,12,6.5,6.5,4.5,6,5.5,6,4,4,0,0,1,1,0.59790895742049,1.36836317343513
625000,10,45,45,103,0.5,6.5,6.5,5,4.5,4,3,4,0,1,1,1,37,34,2,7,1,6.5,7,5.5,4,4,3,3,0,1,1,1,-0.286290168315587,-0.548263406463833
652000,9,55,40,99,4,4.5,3.5,6,7,6,6,1,0,0,1,1,30,22,2,10,3.5,7,4,5,3.5,4,6,2,0,0,1,1,-1.17048929405166,-0.796715000154439
670000,10,65,80,114,3.5,1.5,1,6,2.5,4,4,3,0,0,1,1,40,17,3,7,7,4.5,5,6.5,7,3,4,4,0,0,1,1,-0.286290168315587,-0.441784152025001
675000,10,60,60,124,3,3,5.5,3.5,2.5,4,2,2,0,0,1,1,60,24,3,10,6.5,5,4.5,5,4.5,4,2,2,0,0,1,1,-0.286290168315587,0.268077544233875
683000,9,70,65,110,4,6.5,4,3,2,5,3,5,0,0,0,1,28,18,2,8,5,5,2.5,5,4.5,5,3,5,0,0,0,1,-1.17048929405166,-0.867701169780327
685000,11,90,75,124,5,4,0.5,1.5,5.5,5,5,1,0,0,0,1,0,20,4,7,5,7,7,5.5,7,5,5,1,0,0,0,1,0.59790895742049,-1.86150754454275
686000,11,90,95,129,4,3,4,2.5,1,6,4,5,0,0,0,1,45,15,4,14,3,3,5.5,3,2.5,6,4,5,0,0,0,1,0.59790895742049,-0.264318727960282
691000,11,90,90,124,7,7,4.5,4.5,7,3,1,4,0,0,1,1,20,20,3,14,3.5,6,6,2,2.5,3,1,2,0,0,1,1,0.59790895742049,-1.15164584828388
693000,10,40,40,121,3.5,5,3,1.5,5,5,5,4,0,1,0,1,40,24,2,4,2,5.5,6,6,4,4,5,5,0,1,0,1,-0.286290168315587,-0.441784152025001
696000,9,40,25,114,1.5,3,1,6.5,4.5,3,4,2,0,0,0,1,0,17,4,7,4,5,4,5.5,5,3,4,2,0,0,0,1,-1.17048929405166,-1.86150754454275
697000,11,85,50,117,7,7,5,4.5,1.5,6,2,5,0,0,0,1,95,16,2,9,5,7,7,4.5,4,6,1,4,0,0,0,1,0.59790895742049,1.51033551268691
702000,12,55,75,154,3.5,7,4.5,3.5,4,3,4,5,0,0,0,1,91,27,4,9,5,7,5,7,4.5,3,3,5,0,0,0,1,1.48210808315657,1.36836317343513
704000,11,55,85,154,7,7,7,7,7,4,4,4,0,0,0,1,46,21,2,7,6.5,6,5,6,5,4,4,5,0,0,0,1,0.59790895742049,-0.228825643147338
711000,11,90,0,124,6.5,5,6,1.5,7,4,2,1,0,0,1,1,46,26,4,7,7,2.5,7,7,7,4,2,2,0,0,1,1,0.59790895742049,-0.228825643147338
712000,10,85,90,140,1,2.5,1.5,3,2.5,3,2,4,0,0,1,1,80,19,4,6,1.5,6.5,6,6,5,3,2,4,0,0,1,1,-0.286290168315587,0.977939240492751
715000,9,35,45,110,7,6,4,7,7,2,3,3,0,0,0,1,37,23,3,13,1,5.5,5,4,4,2,3,3,0,0,0,1,-1.17048929405166,-0.548263406463833
724000,6,20,60,129,7,7,1.5,1.5,6,3,2,3,0,0,0,1,20,18,1,6,7,7,7,6.5,4.5,4,2,3,0,0,0,1,-3.82308667125989,-1.15164584828388
725000,11,80,75,103,1.5,4.5,1,4,6,4,4,5,0,0,1,1,95,20,4,8,3,6.5,3.5,2.5,6,3,4,4,0,0,1,1,0.59790895742049,1.51033551268691
731000,10,100,80,114,2.5,4.5,3.5,4.5,5.5,5,4,5,0,0,1,1,85,35,2,11,6.5,4,4.5,7,6.5,4,4,5,0,0,1,1,-0.286290168315587,1.15540466455747
732000,10,95,75,124,3,3.5,3,2,3.5,4,5,5,0,0,0,1,85,20,3,12,1,4,4,1,6,4,5,3,0,1,0,1,-0.286290168315587,1.15540466455747
736000,8,70,75,121,1,1.5,2.5,1.5,6,3,5,5,0,0,1,1,20,27,2,12,1.5,6.5,3,2,2.5,3,5,3,0,0,1,1,-2.05468841978774,-1.15164584828388
737000,11,80,35,114,7,7,5,7,6.5,4,3,5,0,0,1,1,80,24,2,10,4,6.5,4.5,7,6.5,4,3,5,0,0,1,1,0.59790895742049,0.977939240492751
744000,12,75,75,129,5,6,3.5,4,6,3,4,3,0,0,1,1,80,12,2,8,6.5,7,7,6.5,7,4,3,4,0,0,1,1,1.48210808315657,0.977939240492751
745000,9,80,85,140,2.5,3.5,7,4.5,7,5,4,4,0,0,0,1,35,15,4,12,2.5,3.5,7,7,6,5,4,5,0,0,0,1,-1.17048929405166,-0.61924957608972
756000,9,60,10,103,3.5,1.5,1.5,5,6,4,5,4,0,0,1,1,0,18,2,7,5,4,2,2,4,3,5,4,0,0,1,1,-1.17048929405166,-1.86150754454275
766000,11,65,60,121,5,7,5,1.5,7,2,1,4,1,0,1,1,95,14,1,14,6.5,7,5,7,6.5,2,1,4,1,0,0,1,0.59790895742049,1.51033551268691
774000,7,45,45,95,1.5,3,1.5,4,4.5,3,6,3,0,0,0,1,20,17,3,8,4,5.5,4,6,4.5,3,6,3,0,0,0,1,-2.93888754552382,-1.15164584828388
776000,10,45,65,114,3.5,6.5,1,5.5,3,4,2,4,0,0,0,1,85,17,4,8,6.5,4,6,7,7,3,2,4,0,0,0,1,-0.286290168315587,1.15540466455747
778000,10,60,55,107,3.5,3,5.5,3.5,3,5,5,4,0,0,0,1,15,16,4,9,6,5,6.5,7,7,4,5,5,0,0,0,1,-0.286290168315587,-1.3291112723486
782000,9,65,40,110,3.5,7,5,7,7,4,6,5,0,0,0,1,15,29,1,8,2.5,7,5.5,7,7,3,5,5,0,0,0,1,-1.17048929405166,-1.3291112723486
785000,12,100,95,129,3,7,5,7,1.5,6,6,4,0,0,1,1,91,26,4,16,5.5,6.5,4.5,6.5,6,6,6,5,0,0,1,1,1.48210808315657,1.36836317343513
787000,11,55,80,107,3.5,3,4.5,4.5,3,5,6,5,0,0,0,1,91,21,2,9,5.5,7,4,6.5,5,5,6,5,0,0,0,1,0.59790895742049,1.36836317343513
789000,7,40,10,95,2.5,3,3.5,7,6,3,2,3,0,0,0,1,37,26,1,7,6.5,6.5,4,6.5,4,3,2,5,0,0,0,1,-2.93888754552382,-0.548263406463833
8e+05,10,80,55,129,1.5,2,1.5,2.5,5,4,4,4,0,0,0,1,40,20,2,7,4,5.5,6,5.5,6,3,4,2,0,0,0,1,-0.286290168315587,-0.441784152025001
809000,11,65,70,114,7,5,5.5,3.5,3,6,6,5,0,0,0,1,95,21,3,7,7,7,5.5,5,5.5,6,6,5,0,0,0,1,0.59790895742049,1.51033551268691
816000,11,95,50,131,7,7,3.5,7,3.5,5,4,5,0,0,1,1,75,23,4,11,7,6.5,4.5,5,7,5,5,5,0,0,1,1,0.59790895742049,0.800473816428032
827000,12,60,45,114,7,5,1,2,1,4,5,4,0,0,1,1,0,28,1,7,6,5,3,6,4.5,3,5,4,0,0,1,1,1.48210808315657,-1.86150754454275
831000,10,60,55,124,2.5,7,5,7,3.5,3,3,4,0,0,1,1,70,16,3,10,3,7,3,5,5,3,2,5,0,0,1,1,-0.286290168315587,0.623008392363313
836000,10,70,40,114,7,5,3,6.5,6.5,6,6,5,0,0,1,1,28,20,3,8,5.5,7,4.5,6.5,6,6,6,5,0,0,1,1,-0.286290168315587,-0.867701169780327
837000,10,55,60,95,0.5,4,7,1,5,6,5,5,0,0,1,1,37,17,2,7,3,6,7,5.5,5,6,5,5,0,1,1,1,-0.286290168315587,-0.548263406463833
839000,10,65,65,121,5,6.5,1,6.5,2,4,5,5,0,0,1,1,80,22,2,11,6,4.5,4.5,6.5,5.5,4,5,5,0,0,1,1,-0.286290168315587,0.977939240492751
840000,10,90,70,124,7,7,3.5,7,7,5,4,4,0,0,1,1,37,30,3,7,7,4.5,4.5,7,6,5,2,2,0,1,0,1,-0.286290168315587,-0.548263406463833
841000,11,60,50,110,5,7,7,5,7,3,5,1,0,0,1,1,46,33,3,6,5,7,7,4,7,3,5,2,0,0,1,1,0.59790895742049,-0.228825643147338
844000,11,70,80,124,5,7,7,6.5,5.5,5,4,5,0,0,1,1,45,18,3,5,5.5,7,7,7,5.5,5,4,5,0,0,1,1,0.59790895742049,-0.264318727960282
865000,10,95,65,131,4,2,3.5,5.5,2.5,5,3,4,0,0,1,1,91,30,4,13,2.5,6.5,3,4,5.5,5,3,5,0,0,1,1,-0.286290168315587,1.36836317343513
867000,11,55,70,117,6,4.5,1.5,2,5,3,3,3,0,0,1,1,71,20,4,8,4,5,5,6,3,3,3,4,0,0,1,1,0.59790895742049,0.658501477176257
871000,12,100,80,131,0.5,7,7,6.5,6.5,5,3,5,0,0,1,1,100,28,4,15,4,4,7,7,6.5,5,3,5,0,0,1,1,1.48210808315657,1.68780093675163
888000,10,45,55,107,3.5,4.5,5.5,3,5,5,5,5,0,0,0,1,91,18,4,5,6.5,5,4.5,4.5,5,5,5,3,0,0,0,1,-0.286290168315587,1.36836317343513
891000,12,100,85,140,4,5.5,5.5,1.5,7,3,5,5,0,1,1,1,90,31,4,17,5,5.5,6,4.5,7,3,5,5,0,1,1,1,1.48210808315657,1.33287008862219
896000,9,85,75,121,4,1.5,4.5,3.5,4.5,6,3,5,0,0,0,1,85,22,4,16,2,5,4.5,4,5,6,3,5,0,0,0,1,-1.17048929405166,1.15540466455747
897000,10,70,40,110,5,7,0.5,4.5,5,3,5,3,0,0,0,1,28,20,1,12,3,6.5,6,4.5,2,3,5,4,0,0,0,1,-0.286290168315587,-0.867701169780327
898000,10,50,30,124,5,4,1,3,5,3,3,5,0,0,0,1,40,18,3,5,5,5.5,4.5,5,5.5,3,3,5,0,0,0,1,-0.286290168315587,-0.441784152025001
901000,11,100,90,140,1.5,7,7,6,2.5,6,6,5,0,1,0,1,90,29,4,15,7,7,7,7,6.5,6,6,5,0,1,0,1,0.59790895742049,1.33287008862219
908000,10,40,100,79,4,4.5,5,4,4,5,4,3,0,0,0,1,85,22,2,6,4,4,6,4,4.5,5,3,3,0,0,0,1,-0.286290168315587,1.15540466455747
925000,10,90,75,110,1.5,6.5,7,1,4,4,5,4,0,0,0,1,75,25,2,13,4.5,4,7,4.5,4,3,5,5,0,0,0,1,-0.286290168315587,0.800473816428032
938000,10,70,70,114,3,3.5,5,4.5,3,2,2,4,0,0,1,1,60,24,4,10,4,6.5,5,5,4.5,2,2,4,0,0,1,1,-0.286290168315587,0.268077544233875
965000,11,65,45,92,1.5,3.5,4,4,2,3,2,3,0,0,1,1,30,20,2,13,4,4,4.5,4.5,4,3,2,5,0,0,1,1,0.59790895742049,-0.796715000154439
967000,10,95,35,129,3.5,5,3.5,6.5,3.5,5,3,2,0,0,1,1,60,15,2,15,3.5,5.5,5.5,4,6,5,6,1,0,0,1,1,-0.286290168315587,0.268077544233875
971000,10,60,50,110,3,7,1,3.5,5.5,4,5,4,0,0,1,1,35,20,2,8,1.5,6,3,1,6,4,5,4,0,0,1,1,-0.286290168315587,-0.61924957608972
987000,11,90,50,95,7,7,0.5,5,7,6,6,4,0,0,1,1,30,28,2,12,2,4,4,5,6,5,5,4,0,0,1,1,0.59790895742049,-0.796715000154439
995000,9,75,25,110,1.5,7,7,7,6,4,4,5,0,0,0,1,45,16,1,10,6.5,6.5,7,7,7,4,4,5,0,0,0,1,-1.17048929405166,-0.264318727960282
999000,10,50,40,114,7,7,5,6.5,3.5,6,5,5,0,0,0,1,37,23,3,7,6,6.5,4.5,7,6,6,5,4,0,0,0,1,-0.286290168315587,-0.548263406463833
1011000,10,85,65,95,3.5,7,3,5,3.5,3,6,4,0,0,0,1,71,22,2,13,3.5,4,2,5.5,5.5,3,6,4,0,0,0,1,-0.286290168315587,0.658501477176257
1016000,10,55,50,117,7,3.5,3,1,7,5,4,5,0,0,1,1,91,19,3,4,6,6.5,5,7,5,5,3,5,0,0,1,1,-0.286290168315587,1.36836317343513
1018000,10,85,40,121,7,7,7,7,7,5,3,2,0,0,1,1,28,25,2,12,5.5,5,5.5,7,6.5,5,3,5,0,0,1,1,-0.286290168315587,-0.867701169780327
1026000,10,45,35,99,3,7,3.5,3.5,4,4,3,5,0,0,0,1,15,23,2,5,3.5,7,4,3.5,6.5,4,3,5,0,0,0,1,-0.286290168315587,-1.3291112723486
1044000,10,55,25,121,3,2.5,1.5,3,3.5,6,3,3,0,1,1,1,28,26,1,10,7,5,5,6.5,5,6,3,2,0,1,1,1,-0.286290168315587,-0.867701169780327
1049000,10,70,35,121,7,5,5,1.5,7,3,3,4,0,0,1,1,0,18,2,9,6.5,6,5,4.5,7,3,3,3,0,0,1,1,-0.286290168315587,-1.86150754454275
1053000,9,60,25,107,2,7,1.5,1,7,4,3,3,0,0,1,1,46,20,2,10,4.5,6.5,7,4.5,7,4,3,3,0,0,1,1,-1.17048929405166,-0.228825643147338
1059000,7,25,30,85,7,5.5,2,1,4.5,3,3,3,0,0,1,1,15,16,2,5,7,2,2,1,3,3,1,1,0,0,1,1,-2.93888754552382,-1.3291112723486
1060000,11,95,35,121,7,1,1.5,2,6.5,5,4,2,0,0,1,1,70,32,3,13,6,4.5,3.5,3,6.5,5,4,3,0,0,1,1,0.59790895742049,0.623008392363313
1064000,10,85,40,107,2.5,3.5,5,7,3.5,3,5,2,0,0,1,1,80,34,3,7,5,6.5,3.5,6,6.5,3,3,5,0,0,1,1,-0.286290168315587,0.977939240492751
1065000,11,85,100,129,7,7,5,1.5,7,6,5,5,0,0,1,1,100,22,4,9,7,7,5.5,7,7,3,5,4,0,0,1,1,0.59790895742049,1.68780093675163
1076000,11,85,45,114,5,1.5,3,4.5,3.5,2,3,1,0,0,0,1,45,23,3,10,6,6,5,7,6.5,2,3,1,0,0,0,1,0.59790895742049,-0.264318727960282
1087000,9,50,20,85,3.5,7,4.5,7,7,4,3,3,0,0,1,1,15,19,1,10,7,6.5,5,6.5,7,3,3,2,0,0,1,1,-1.17048929405166,-1.3291112723486
1088000,10,95,55,110,2,1,3.5,2,4.5,5,6,5,0,0,1,1,91,22,1,8,5,4,4,6.5,4,5,6,5,0,0,0,1,-0.286290168315587,1.36836317343513
1095000,12,90,70,85,7,7,3.5,4.5,3.5,5,6,5,0,0,1,1,37,22,3,8,4.5,6.5,3.5,5.5,5.5,5,6,5,0,0,1,1,1.48210808315657,-0.548263406463833
1100000,9,90,50,140,1.5,3.5,3.5,3.5,2.5,3,3,4,0,0,1,1,80,20,1,7,1,7,7,5,4.5,3,3,5,0,0,1,1,-1.17048929405166,0.977939240492751
1116000,9,70,60,131,3,7,6.5,7,3.5,4,6,4,0,0,0,1,37,20,1,10,3,6,4.5,4,3,4,6,4,0,1,0,1,-1.17048929405166,-0.548263406463833
1120000,12,35,60,92,3,4,4,4,2.5,3,1,2,0,0,0,1,20,27,3,9,5.5,6,4.5,5.5,5.5,3,1,3,0,0,0,1,1.48210808315657,-1.15164584828388
1125000,11,60,85,124,1.5,6,3,1.5,5,3,3,5,0,0,1,1,91,16,4,10,4,5.5,3,6,4,3,3,5,0,0,1,1,0.59790895742049,1.36836317343513
1126000,10,90,70,129,3.5,7,5,6.5,7,3,4,4,0,0,0,1,28,27,3,14,7,7,4.5,6.5,7,5,4,5,0,0,0,1,-0.286290168315587,-0.867701169780327
1133000,10,70,55,107,3,3.5,6.5,3.5,3,5,4,4,0,0,1,1,85,20,3,9,5,6.5,5,7,5,5,5,5,0,0,1,1,-0.286290168315587,1.15540466455747
